Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Hanoi,PM2.5 - Principal,12/11/2015,2015,12,11,9,55.8,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/11/2015,2015,12,11,10,51.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/11/2015,2015,12,11,11,54.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/11/2015,2015,12,11,12,58.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/11/2015,2015,12,11,13,53.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/11/2015,2015,12,11,14,61.9,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/11/2015,2015,12,11,15,61,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/11/2015,2015,12,11,16,63.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/11/2015,2015,12,11,17,71.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/11/2015,2015,12,11,18,76,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/11/2015,2015,12,11,19,78.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/11/2015,2015,12,11,20,81.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/11/2015,2015,12,11,21,75,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/11/2015,2015,12,11,22,77.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/11/2015,2015,12,11,23,93.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,0,87.1,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,1,91.4,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,2,78.2,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,3,85.3,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,4,93.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,5,109.6,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,6,102.7,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,7,122,UG/M3,1 Hr,Valid
Hanoi,PM2.5 - Principal,12/12/2015,2015,12,12,8,122.2,UG/M3,1 Hr,Valid
