Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name,PM2.5 Category
Hanoi,PM2.5 - Principal,2022-01-02,2022,1,2,13,34.6,98,Moderate,39.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-02,2022,1,2,14,33.8,97,Moderate,33.0,UG/M3,1 Hr,Valid,Moderate
Hanoi,PM2.5 - Principal,2022-01-02,2022,1,2,15,34.4,98,Moderate,35.0,UG/M3,1 Hr,Valid,Moderate
Hanoi,PM2.5 - Principal,2022-01-02,2022,1,2,16,36.7,104,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-02,2022,1,2,17,42.8,119,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-02,2022,1,2,18,54.4,148,Unhealthy for Sensitive Groups,66.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-02,2022,1,2,19,74.2,161,Unhealthy,94.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-02,2022,1,2,20,85.1,166,Unhealthy,96.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-02,2022,1,2,21,100.5,174,Unhealthy,116.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-02,2022,1,2,22,110.2,179,Unhealthy,120.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-02,2022,1,2,23,126.1,187,Unhealthy,142.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,0,144.0,197,Unhealthy,162.0,UG/M3,1 Hr,Valid,Very unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,1,159.0,209,Very Unhealthy,174.0,UG/M3,1 Hr,Valid,Very unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,2,151.5,202,Very Unhealthy,144.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,3,133.2,191,Unhealthy,115.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,4,126.6,188,Unhealthy,120.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,5,120.3,184,Unhealthy,114.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,6,114.8,182,Unhealthy,107.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,7,108.8,179,Unhealthy,101.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,8,106.9,178,Unhealthy,103.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,9,93.0,170,Unhealthy,81.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,10,83.5,165,Unhealthy,74.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,11,76.7,162,Unhealthy,70.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,12,83.3,165,Unhealthy,90.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,13,85.6,167,Unhealthy,88.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,14,86.1,167,Unhealthy,87.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,15,83.1,165,Unhealthy,79.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,16,81.2,164,Unhealthy,78.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,17,82.3,165,Unhealthy,84.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,18,84.8,166,Unhealthy,90.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,19,91.1,169,Unhealthy,104.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,20,101.9,175,Unhealthy,116.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,21,111.7,180,Unhealthy,123.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,22,123.3,186,Unhealthy,134.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-03,2022,1,3,23,130.5,190,Unhealthy,141.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,0,138.7,194,Unhealthy,147.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,1,144.9,197,Unhealthy,151.0,UG/M3,1 Hr,Valid,Very unhealthy
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,2,147.3,198,Unhealthy,150.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,3,146.7,198,Unhealthy,146.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,4,145.3,197,Unhealthy,144.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,5,188.2,238,Very Unhealthy,231.0,UG/M3,1 Hr,Valid,Very unhealthy
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,6,237.1,287,Very Unhealthy,286.0,UG/M3,1 Hr,Valid,Hazardous
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,7,249.5,299,Very Unhealthy,262.0,UG/M3,1 Hr,Valid,Hazardous
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,8,259.8,310,Hazardous,270.0,UG/M3,1 Hr,Valid,Hazardous
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,9,271.4,322,Hazardous,283.0,UG/M3,1 Hr,Valid,Hazardous
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,10,241.2,291,Very Unhealthy,211.0,UG/M3,1 Hr,Valid,Very unhealthy
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,11,180.1,230,Very Unhealthy,119.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,12,135.5,192,Unhealthy,91.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,13,98.7,173,Unhealthy,62.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,14,80.3,164,Unhealthy,62.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,15,67.1,157,Unhealthy,54.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,16,62.0,154,Unhealthy,57.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,17,55.5,151,Unhealthy,49.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,18,59.2,153,Unhealthy,63.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,19,59.0,153,Unhealthy,59.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,20,48.5,133,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,21,41.7,116,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid,Moderate
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,22,39.3,110,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-04,2022,1,4,23,42.6,118,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,0,42.8,119,Unhealthy for Sensitive Groups,43.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,1,40.7,114,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,2,36.9,104,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid,Moderate
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,3,35.5,101,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid,Moderate
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,4,46.7,129,Unhealthy for Sensitive Groups,59.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,5,49.2,135,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,6,57.7,152,Unhealthy,66.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,7,58.3,152,Unhealthy,59.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,8,55.2,150,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,9,49.6,136,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,10,48.8,134,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,11,44.4,123,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,12,45.2,125,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,13,42.1,117,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,14,38.2,108,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid,Moderate
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,15,37.1,105,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,16,35.6,101,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid,Moderate
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,17,32.7,94,Moderate,30.0,UG/M3,1 Hr,Valid,Moderate
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,18,36.8,104,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,19,45.6,126,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,20,58.2,152,Unhealthy,70.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,21,53.6,146,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,22,51.3,140,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-05,2022,1,5,23,55.6,151,Unhealthy,60.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2022-01-06,2022,1,6,0,49.8,136,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-06,2022,1,6,1,40.9,114,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid,Moderate
Hanoi,PM2.5 - Principal,2022-01-06,2022,1,6,2,34.4,98,Moderate,28.0,UG/M3,1 Hr,Valid,Moderate
Hanoi,PM2.5 - Principal,2022-01-06,2022,1,6,3,32.7,94,Moderate,31.0,UG/M3,1 Hr,Valid,Moderate
Hanoi,PM2.5 - Principal,2022-01-06,2022,1,6,4,36.3,103,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-06,2022,1,6,5,43.1,120,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-06,2022,1,6,6,35.0,99,Moderate,27.0,UG/M3,1 Hr,Valid,Moderate
Hanoi,PM2.5 - Principal,2022-01-06,2022,1,6,7,43.5,121,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-06,2022,1,6,8,40.7,114,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-06,2022,1,6,9,40.3,113,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-06,2022,1,6,10,39.1,110,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid,Unhealthy for sensitive
Hanoi,PM2.5 - Principal,2022-01-06,2022,1,6,11,36.7,104,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid,Moderate
Hanoi,PM2.5 - Principal,2022-01-06,2022,1,6,12,34.4,98,Moderate,32.0,UG/M3,1 Hr,Valid,Moderate
Hanoi,PM2.5 - Principal,2022-01-06,2022,1,6,13,32.7,94,Moderate,31.0,UG/M3,1 Hr,Valid,Moderate
Hanoi,PM2.5 - Principal,2022-01-06,2022,1,6,14,30.9,91,Moderate,29.0,UG/M3,1 Hr,Valid,Moderate
Hanoi,PM2.5 - Principal,2022-01-06,2022,1,6,15,30.5,90,Moderate,30.0,UG/M3,1 Hr,Valid,Moderate
Hanoi,PM2.5 - Principal,2022-01-06,2022,1,6,16,31.2,91,Moderate,32.0,UG/M3,1 Hr,Valid,Moderate
Hanoi,PM2.5 - Principal,2022-01-06,2022,1,6,17,30.6,90,Moderate,30.0,UG/M3,1 Hr,Valid,Moderate
