Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name,PM2.5 Category
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,1,81.0,164,Unhealthy,94.7,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,2,84.9,166,Unhealthy,88.7,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,3,84.5,166,Unhealthy,84.2,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,4,114.8,182,Unhealthy,145.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,5,88.3,168,Unhealthy,61.7,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,6,72.1,160,Unhealthy,56.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,7,64.6,156,Unhealthy,57.2,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,8,64.0,155,Unhealthy,63.4,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,9,70.5,159,Unhealthy,77.0,UG/M3,1 Hr,Valid,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,10,70.5,159,Unhealthy,77.10526315789474,UG/M3,1 Hr,Missing,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,11,70.5,159,Unhealthy,77.21052631578948,UG/M3,1 Hr,Missing,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,12,70.5,159,Unhealthy,77.3157894736842,UG/M3,1 Hr,Missing,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,13,70.5,159,Unhealthy,77.42105263157895,UG/M3,1 Hr,Missing,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,14,-999.0,-999,,77.52631578947368,UG/M3,1 Hr,Missing,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,15,-999.0,-999,,77.63157894736842,UG/M3,1 Hr,Missing,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,16,-999.0,-999,,77.73684210526316,UG/M3,1 Hr,Missing,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,17,-999.0,-999,,77.84210526315789,UG/M3,1 Hr,Missing,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,18,-999.0,-999,,77.94736842105263,UG/M3,1 Hr,Missing,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,19,-999.0,-999,,78.05263157894737,UG/M3,1 Hr,Missing,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,20,-999.0,-999,,78.15789473684211,UG/M3,1 Hr,Missing,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,21,-999.0,-999,,78.26315789473684,UG/M3,1 Hr,Missing,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,22,-999.0,-999,,78.36842105263158,UG/M3,1 Hr,Missing,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-01,2016,1,1,23,-999.0,-999,,78.47368421052632,UG/M3,1 Hr,Missing,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-02,2016,1,2,0,-999.0,-999,,78.57894736842105,UG/M3,1 Hr,Missing,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-02,2016,1,2,1,-999.0,-999,,78.6842105263158,UG/M3,1 Hr,Missing,Unhealthy
Hanoi,PM2.5 - Principal,2016-01-02,2016,1,2,2,-999.0,-999,,78.78947368421052,UG/M3,1 Hr,Missing,Unhealthy
